BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY HOMES,1,4803,45,,C0,564 KINGSTON AVENUE,,11203,3,0,3,1952,3936,1915,1,C0,0,2012-06-13
Manhattan,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1917,27,,C5,107 WEST 132 STREET,,10027,11,0,11,1749,2625,1910,2,C5,0,2013-03-21
Brooklyn,BUSH TERMINAL,03  THREE FAMILY DWELLINGS,1,781,30,,C0,258 49 STREET,,11220,3,0,3,2003,2232,1910,1,C0,0,2013-05-09
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY DWELLINGS,1,4667,24,,C0,396 EAST 93RD STREET,,11212,3,0,3,1880,1627,1950,1,C0,10000,2013-12-21
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY DWELLINGS,1,4667,24,,C0,396 EAST 93 STREET,,11212,3,0,3,1880,1627,1950,1,C0,0,2013-12-05
Brooklyn,FLATBUSH-NORTH,03  THREE FAMILY DWELLINGS,1,4803,45,,C0,564 KINGSTON AVENUE,,11203,3,0,3,1952,3936,1915,1,C0,525000,2013-03-19
Manhattan,CHELSEA,13  CONDOS - ELEVATOR APARTMENTS,2,742,1006,,R4,305 WEST 18TH   STREET,6A,10011,1,0,1,0,0,1950,2,R4,600000,2014-10-30
Manhattan,CHELSEA,13  CONDOS - ELEVATOR APARTMENTS,2,742,1032,,R4,305 WEST 18TH   STREET,2F,10011,1,0,1,0,0,1950,2,R4,0,2014-10-30
Manhattan,FLATIRON,21  OFFICE BUILDINGS,4,821,10,,O9,55 WEST 19TH   STREET,,10011,1,4,5,2326,8500,1925,4,O9,8500000,2014-10-21
Brooklyn,BEDFORD STUYVESANT,02  TWO FAMILY DWELLINGS,1,1638,40,,B3,976A GATES AVENUE,,11221,2,0,2,2000,1800,1899,1,B3,518437,2014-11-04
Brooklyn,BUSH TERMINAL,03  THREE FAMILY DWELLINGS,1,781,30,,C0,258 49TH STREET,,11220,3,0,3,2003,2232,1910,1,C0,400000,2014-09-23
Brooklyn,BUSH TERMINAL,03  THREE FAMILY DWELLINGS,1,781,30,,C0,258 49TH ST,,11220,3,0,3,2003,2232,1910,1,C0,0,2014-09-23
Manhattan,FINANCIAL,13  CONDOS - ELEVATOR APARTMENTS,2,31,1333,,R4,75 WALL STREET,38M,10005,1,0,1,0,0,1987,2,R4,1960000,2015-10-07
Brooklyn,BUSH TERMINAL,03  THREE FAMILY DWELLINGS,1,781,30,,C0,258 49TH STREET,,11220,3,0,3,2003,2232,1910,1,C0,750000,2015-04-21
Manhattan,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1914,146,,C5,132 WEST 130 STREET,,10027,11,0,11,1749,2625,1910,2,C5,20000,2016-09-17
Brooklyn,BROWNSVILLE,03  THREE FAMILY DWELLINGS,1,3525,116,,C0,1780 PITKIN AVE,,11212,3,0,3,1800,3876,2006,1,C0,0,2016-05-02
Brooklyn,BUSH TERMINAL,03  THREE FAMILY DWELLINGS,1,781,30,,C0,258 49 STREET,,11220,3,0,3,2003,2232,1910,1,C0,0,2016-05-19
Manhattan,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2060,38,,A9,404 WEST 146,,10031,1,0,1,1998,4730,1901,1,A9,72500,2017-04-26
Manhattan,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2060,38,,A9,404 WEST 146,,10031,1,0,1,1998,4730,1901,1,A9,10,2017-05-16
Brooklyn,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,7580,24,,B1,1055 EAST 34TH STREET,,11210,2,0,2,2300,1840,1915,1,B1,280000,2017-03-22
Brooklyn,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,1,7580,24,,B1,1055 EAST 34TH STREET,,11210,2,0,2,2300,1840,1915,1,B1,775000,2017-09-26
