borough,uid,block,lot,SALE DATE,sale_price
Brooklyn,4152_46,4152,46,2019-02-27,680000
Brooklyn,7747_49,7747,49,2020-08-11,432978
Brooklyn,7747_49,7747,49,2021-04-29,625000
Staten Island,6245_183,6245,183,2019-01-18,480000
Staten Island,6245_183,6245,183,2019-10-02,701000
Queens,12013_61,12013,61,2019-07-22,325000
Queens,12013_61,12013,61,2020-02-26,520000
Brooklyn,8048_7,8048,7,2018-02-27,260000
Brooklyn,8048_7,8048,7,2018-07-20,565000
Brooklyn,8048_7,8048,7,2021-02-26,575000
Queens,1098_6,1098,6,2022-03-15,399000
Queens,1098_6,1098,6,2023-03-10,780000
Queens,10251_174,10251,174,2019-03-25,251000
Queens,10251_174,10251,174,2020-03-13,495000
Bronx,4610_30,4610,30,2022-06-28,700000
Brooklyn,8599_9,8599,9,2018-12-20,1275000
Brooklyn,8599_9,8599,9,2020-09-28,637500
Staten Island,300_182,300,182,2021-03-12,450000
Staten Island,300_182,300,182,2021-12-15,775000
Staten Island,5097_52,5097,52,2018-09-18,350000
Staten Island,5097_52,5097,52,2019-10-30,580000
Queens,13083_46,13083,46,2022-08-22,660000
Staten Island,5452_40,5452,40,2018-02-20,665000
Manhattan,1171_3011,1171,3011,2018-02-13,945000
Bronx,5429_61,5429,61,2019-07-08,730000
Manhattan,396_20_4,396,20,2018-05-15,521000
Manhattan,396_20_4,396,20,2021-08-19,350000
Manhattan,396_20_4,396,20,2021-10-06,395000
Bronx,4832_35,4832,35,2020-11-18,273780
Bronx,4832_35,4832,35,2021-10-18,725000
Queens,12186_20,12186,20,2019-12-21,473576
Queens,12186_20,12186,20,2021-03-22,270000
Queens,12186_20,12186,20,2021-08-26,584500
Queens,11723_23,11723,23,2018-04-02,977834
Queens,11723_23,11723,23,2020-03-11,518000
Queens,11723_23,11723,23,2021-02-22,730000
Brooklyn,8705_26,8705,26,2022-12-16,610000
Queens,12797_20,12797,20,2019-12-20,689253
Queens,12797_20,12797,20,2023-02-22,390390
Queens,13187_17,13187,17,2020-06-19,547499
Staten Island,3615_23,3615,23,2023-08-02,1240000
Queens,12175_19,12175,19,2018-07-13,441000
Bronx,5091_15,5091,15,2019-10-17,354900
Bronx,5091_15,5091,15,2020-06-26,505000
Queens,12584_6,12584,6,2021-02-18,385000
Queens,12584_6,12584,6,2021-09-09,865000
Brooklyn,5424_75,5424,75,2018-02-15,503250
Brooklyn,5424_75,5424,75,2019-07-30,990000
Queens,11480_83,11480,83,2018-12-14,535000
Queens,11480_83,11480,83,2020-06-29,780000
Bronx,4878_3,4878,3,2021-11-17,300000
Bronx,4878_3,4878,3,2022-11-14,575000
Manhattan,1171_3046,1171,3046,2019-04-23,401569
Manhattan,1171_3046,1171,3046,2021-04-02,390390
Manhattan,1171_3046,1171,3046,2021-10-18,700000
Bronx,4657_78,4657,78,2019-07-22,600000
Manhattan,1171_3063,1171,3063,2022-10-24,1600000
Bronx,3811_62,3811,62,2021-03-05,365000
Bronx,3811_62,3811,62,2021-08-26,560000
Queens,1130_57,1130,57,2018-05-17,755000
Queens,10172_60,10172,60,2018-11-02,603119
Queens,10172_60,10172,60,2019-09-06,356000
Queens,10172_60,10172,60,2020-10-29,550000
Queens,11287_35,11287,35,2020-12-22,652900
Staten Island,111_21,111,21,2018-05-10,330000
Staten Island,111_21,111,21,2018-10-18,286659
Staten Island,111_21,111,21,2019-09-25,455000
Queens,1637_31,1637,31,2020-03-13,519308
Queens,1637_31,1637,31,2020-12-30,700000
Queens,10879_44,10879,44,2022-06-29,490000
Queens,10879_44,10879,44,2023-01-30,710000
Manhattan,637_66_4a,637,66,2018-01-16,1506000
Manhattan,637_66_4a,637,66,2023-08-07,1150000
Manhattan,638_19_4b,638,19,2018-01-22,2325000
Manhattan,638_19_4b,638,19,2018-03-05,995000
Manhattan,638_19_4b,638,19,2023-05-09,999999
Manhattan,638_19_3a,638,19,2018-09-04,1100000
Manhattan,638_19_3a,638,19,2020-03-11,1100000
Manhattan,638_19_1b,638,19,2018-08-13,1100000
Manhattan,638_19_gb,638,19,2019-05-31,999000
Manhattan,638_19_gb,638,19,2022-08-16,990000
Manhattan,638_19_2a,638,19,2021-10-22,840000
Manhattan,638_19_2a,638,19,2022-02-02,1250000
Manhattan,638_19_2b,638,19,2020-06-03,995000
Manhattan,638_19_2b,638,19,2021-02-17,1170000
Manhattan,638_19_4a,638,19,2018-01-16,303956
Manhattan,638_19_4a,638,19,2019-12-23,1810000
Queens,12294_47,12294,47,2020-06-17,459900
Queens,9710_75,9710,75,2022-03-10,600000
Queens,12985_48,12985,48,2018-08-01,290000
Queens,12985_48,12985,48,2019-01-02,570000
Queens,12628_12,12628,12,2018-11-15,512000
Queens,12172_42,12172,42,2018-08-21,485000
Queens,12172_42,12172,42,2022-06-01,570000
Staten Island,752_626,752,626,2018-04-17,1480000
Manhattan,1373_1043,1373,1043,2019-04-22,998000
Queens,10438_6,10438,6,2018-06-28,450500
Queens,10438_6,10438,6,2019-01-29,650000
Manhattan,608_1014,608,1014,2018-10-17,2120614
Queens,11780_132,11780,132,2019-07-30,305549
Queens,11780_132,11780,132,2020-09-25,588000
Queens,10968_78,10968,78,2018-11-01,380000
Queens,10968_78,10968,78,2019-04-29,645000
Bronx,2958_43,2958,43,2019-03-06,350000
Bronx,2958_43,2958,43,2022-12-16,600000
Bronx,5306_161,5306,161,2018-09-17,400000
Staten Island,749_32,749,32,2021-06-02,545000
Manhattan,716_1105,716,1105,2020-02-21,2320000
Queens,10193_10,10193,10,2018-04-06,329195
Queens,10193_10,10193,10,2019-04-29,385320
Queens,10193_10,10193,10,2020-01-14,570000
Queens,8994_23,8994,23,2018-01-19,635000
Queens,16047_41,16047,41,2019-09-04,285000
Queens,16047_41,16047,41,2021-06-29,540000
Manhattan,716_1117,716,1117,2021-05-03,1115000
Brooklyn,8652_4,8652,4,2018-01-17,613000
Brooklyn,8652_4,8652,4,2021-03-30,715000
Queens,12348_124,12348,124,2018-01-29,357901
Queens,12348_124,12348,124,2019-07-26,295000
Queens,12348_124,12348,124,2020-06-17,647000
Queens,12605_26,12605,26,2019-01-15,373692
Queens,12605_26,12605,26,2022-04-27,496860
Queens,12605_26,12605,26,2022-11-09,703000
Queens,9493_57,9493,57,2019-08-23,631000
Queens,12295_25,12295,25,2018-09-20,348000
Queens,12295_25,12295,25,2019-10-03,600000
Queens,11024_39,11024,39,2018-03-19,318500
Queens,11024_39,11024,39,2018-08-16,530000
Queens,10080_10,10080,10,2018-04-10,765000
Queens,12967_28,12967,28,2021-09-16,412000
Queens,12967_28,12967,28,2022-11-17,660000
Queens,11968_23,11968,23,2020-11-05,485000
Queens,11295_45,11295,45,2019-07-02,575000
Queens,8250_11,8250,11,2018-12-07,3161985
Queens,8250_11,8250,11,2019-06-07,1428000
Manhattan,721_1062_10e,721,1062,2022-05-25,500000
Manhattan,721_1062_10e,721,1062,2022-11-17,1250000
Queens,7991_17,7991,17,2021-07-30,679000
Manhattan,1287_1001,1287,1001,2023-09-07,2050000
Brooklyn,7851_68,7851,68,2020-02-10,315000
Brooklyn,7851_68,7851,68,2021-04-27,637500
Queens,12488_38,12488,38,2022-05-18,556400
Manhattan,1833_3058,1833,3058,2020-09-23,685000
Queens,12938_83,12938,83,2021-09-13,410000
Queens,12938_83,12938,83,2022-10-20,726000
Queens,12369_59,12369,59,2018-06-25,730000
Queens,12704_16,12704,16,2022-03-15,515000
Queens,12704_16,12704,16,2023-06-07,787000
Bronx,3830_38,3830,38,2018-06-04,490000
Bronx,3830_38,3830,38,2019-08-03,341000
Queens,12152_42,12152,42,2018-02-21,315650
Queens,12152_42,12152,42,2019-08-22,775000
Brooklyn,1232_19,1232,19,2018-07-23,800000
Brooklyn,1232_19,1232,19,2019-07-02,1725000
Manhattan,1373_1013,1373,1013,2022-12-19,887000
Brooklyn,4940_37,4940,37,2022-12-08,632193
Brooklyn,4940_37,4940,37,2023-07-20,340000
Queens,10501_65,10501,65,2019-09-25,1060000
Manhattan,1290_1130,1290,1130,2019-07-24,1207540
Manhattan,1290_1130,1290,1130,2020-02-21,630000
Bronx,3456_71,3456,71,2021-07-22,535460
Bronx,3456_71,3456,71,2021-10-29,337662
Queens,12702_64,12702,64,2022-12-03,400000
Queens,12702_64,12702,64,2023-09-06,718000
Brooklyn,1642_28,1642,28,2018-08-03,1300000
Queens,12169_104,12169,104,2018-02-08,333000
Queens,12169_104,12169,104,2018-04-16,293000
Queens,12169_104,12169,104,2019-07-24,475000
Queens,10367_143,10367,143,2021-09-23,253000
Queens,10367_143,10367,143,2022-08-12,600000
Manhattan,1320_1015,1320,1015,2019-06-14,625000
Queens,11772_93,11772,93,2020-04-24,590000
Staten Island,5740_108,5740,108,2019-04-04,566042
Staten Island,5740_108,5740,108,2019-10-31,263550
Queens,5663_21,5663,21,2018-12-11,1380000
Staten Island,2642_38,2642,38,2018-06-28,506000
Staten Island,2642_38,2642,38,2019-03-26,356310
Manhattan,1903_1025,1903,1025,2019-06-05,1700000
Brooklyn,4751_70,4751,70,2018-09-17,623000
Queens,11204_38,11204,38,2018-11-29,542000
Queens,9608_9,9608,9,2019-12-13,430000
Queens,6151_19,6151,19,2019-03-25,500000
Queens,6151_19,6151,19,2019-11-27,700000
Queens,8992_216,8992,216,2020-06-22,400000
Queens,8992_216,8992,216,2021-12-03,650000
Brooklyn,319_1119,319,1119,2020-01-13,1275000
Manhattan,1075_1015,1075,1015,2018-11-02,395000
Manhattan,1075_1015,1075,1015,2020-01-23,600000
Queens,10736_18,10736,18,2022-10-11,600000
Staten Island,877_102,877,102,2022-10-14,2250000
Queens,12286_31,12286,31,2019-01-08,408000
Queens,12286_31,12286,31,2022-06-17,699000
Manhattan,1823_1115,1823,1115,2022-02-22,1065000
Brooklyn,3983_7,3983,7,2021-05-17,446160
Brooklyn,8025_31,8025,31,2021-10-19,649000
Queens,11078_6,11078,6,2022-09-22,600000
Brooklyn,7748_53,7748,53,2021-01-11,280000
Brooklyn,7748_53,7748,53,2022-10-05,860000
Brooklyn,7132_47,7132,47,2019-02-05,833000
Manhattan,1562_1028,1562,1028,2021-07-27,1650000
Brooklyn,1348_49,1348,49,2023-06-28,1050000
Queens,9574_55,9574,55,2019-11-04,300000
Queens,9574_55,9574,55,2020-11-25,670000
Manhattan,636_1119,636,1119,2022-10-19,985000
Queens,10064_68,10064,68,2019-07-30,410000
Queens,10064_68,10064,68,2020-09-28,550000
Bronx,5920_405,5920,405,2018-11-30,437500
Queens,10996_26,10996,26,2018-03-01,395000
Queens,10996_26,10996,26,2018-08-02,645000
Queens,11280_96,11280,96,2019-02-01,394272
Queens,11280_96,11280,96,2019-05-09,345774
Queens,11280_96,11280,96,2019-09-26,605000
Brooklyn,7775_19,7775,19,2022-06-22,665000
Brooklyn,7549_34,7549,34,2018-04-16,610000
Brooklyn,7549_34,7549,34,2019-10-11,1661000
Queens,5039_1216,5039,1216,2018-05-22,630000
Staten Island,223_105,223,105,2019-05-14,703358
Staten Island,223_105,223,105,2019-07-17,434398
Staten Island,223_105,223,105,2019-11-27,560000
Bronx,5079_34,5079,34,2022-07-06,300000
Bronx,5079_34,5079,34,2023-01-26,615000
Manhattan,26_1138,26,1138,2023-02-08,1370000
Queens,11612_55,11612,55,2018-09-19,370000
Manhattan,26_1037,26,1037,2019-02-06,999500
Manhattan,26_1037,26,1037,2021-04-07,905000
Manhattan,26_1059,26,1059,2020-10-21,1800000
Manhattan,26_1071,26,1071,2021-01-14,1160000
Brooklyn,4970_33,4970,33,2021-09-29,623000
Queens,12224_99,12224,99,2021-03-17,425000
Queens,12224_99,12224,99,2021-09-24,710000
Bronx,4981_44,4981,44,2018-12-11,597190
Bronx,4981_44,4981,44,2019-06-03,330570
Bronx,4981_44,4981,44,2020-01-10,530000
Bronx,4557_40,4557,40,2018-11-30,360000
Bronx,4557_40,4557,40,2019-04-30,490000
Queens,8942_43,8942,43,2019-09-03,560000
Brooklyn,1706_56,1706,56,2021-03-15,600000
Brooklyn,1706_56,1706,56,2021-08-06,1079000
Brooklyn,5296_54,5296,54,2022-11-18,453625
Brooklyn,5296_54,5296,54,2023-04-04,950000
Queens,11238_57,11238,57,2022-07-05,750000
Queens,12332_161,12332,161,2019-01-31,359970
Queens,12332_161,12332,161,2019-08-02,598000
Staten Island,275_101,275,101,2019-02-04,375000
Staten Island,275_101,275,101,2019-08-28,675000
Queens,14176_17,14176,17,2019-08-05,436020
Queens,14176_17,14176,17,2020-04-23,705000
Brooklyn,1204_63,1204,63,2018-01-31,1470000
Queens,11032_28,11032,28,2019-07-29,580000
Queens,11032_28,11032,28,2021-07-23,630000
Brooklyn,8010_62,8010,62,2018-10-17,275000
Brooklyn,8010_62,8010,62,2019-08-02,610000
Bronx,4742_12,4742,12,2020-07-14,432000
Manhattan,695_1718,695,1718,2022-01-28,2900000
Manhattan,1020_1158,1020,1158,2020-04-16,891468
Manhattan,1020_1158,1020,1158,2020-08-31,556500
Manhattan,1020_1158,1020,1158,2022-05-18,692000
Queens,10990_22,10990,22,2021-03-15,360000
Queens,10990_22,10990,22,2021-08-26,750000
Staten Island,564_10,564,10,2022-11-03,571602
Manhattan,451_1120,451,1120,2023-04-28,2968900
Manhattan,451_1120,451,1120,2023-05-25,1960000
Queens,12579_163,12579,163,2021-08-06,530000
Queens,12579_163,12579,163,2022-02-24,813000
Queens,8981_15,8981,15,2018-07-02,520000
Brooklyn,5240_80,5240,80,2022-08-08,1201000
Queens,10841_14,10841,14,2023-02-22,460000
Bronx,4736_64,4736,64,2018-05-14,393000
Bronx,4736_64,4736,64,2019-02-06,345163
Bronx,4736_64,4736,64,2019-12-27,510000
Manhattan,425_1021,425,1021,2018-06-05,3025000
Bronx,4849_22,4849,22,2019-03-14,393000
Queens,9315_5,9315,5,2018-06-08,631447
Queens,9315_5,9315,5,2019-08-29,450000
Queens,9315_5,9315,5,2020-01-24,750000
Bronx,5593_73,5593,73,2019-03-06,320000
Bronx,5593_73,5593,73,2019-10-04,500000
Manhattan,425_1022,425,1022,2021-08-31,3000000
Brooklyn,4933_26,4933,26,2021-12-21,507000
Staten Island,3684_37,3684,37,2019-05-07,415740
Staten Island,3684_37,3684,37,2019-07-30,660000
Staten Island,3684_37,3684,37,2021-02-26,498500
Queens,12064_19,12064,19,2019-03-28,401544
Queens,12064_19,12064,19,2020-06-25,637500
Bronx,4837_17,4837,17,2020-07-02,280000
Bronx,4837_17,4837,17,2021-02-11,518000
Queens,16047_37,16047,37,2020-08-31,500000
Bronx,2666_15,2666,15,2020-01-23,295000
Bronx,2666_15,2666,15,2020-06-30,550000
Staten Island,1125_45,1125,45,2019-04-08,451570
Staten Island,1125_45,1125,45,2021-11-04,354900
Staten Island,1125_45,1125,45,2022-05-25,510000
Queens,12011_16,12011,16,2018-08-20,335381
Queens,12011_16,12011,16,2019-09-24,630700
Queens,11627_28,11627,28,2018-02-22,660000
Queens,12461_1,12461,1,2019-05-02,575000
Queens,1161_54,1161,54,2018-02-14,450000
Queens,1161_54,1161,54,2018-07-10,735000
Staten Island,3808_13,3808,13,2021-08-26,519900
Staten Island,261_80,261,80,2023-08-31,875000
Queens,11990_5,11990,5,2019-06-07,365040
Queens,11990_5,11990,5,2020-02-26,510000
Manhattan,1409_1203_res,1409,1203,2021-08-06,852500
Brooklyn,470_1110,470,1110,2020-02-26,1615000
Brooklyn,7904_64,7904,64,2022-04-29,458420
Brooklyn,7904_64,7904,64,2023-05-09,750000
Manhattan,1163_1003,1163,1003,2023-05-19,1390000
Queens,11013_50,11013,50,2018-08-13,340000
Queens,11013_50,11013,50,2020-09-04,645000
Queens,10374_4,10374,4,2018-04-27,303693
Queens,10374_4,10374,4,2019-08-06,580000
Queens,11262_18,11262,18,2019-10-25,425000
Queens,11262_18,11262,18,2021-05-27,750000
Queens,5573_50,5573,50,2018-11-15,500000
Queens,5573_50,5573,50,2019-07-31,890000
Queens,12006_73,12006,73,2019-08-23,447000
Queens,12006_73,12006,73,2020-01-17,325000
Queens,10488_14,10488,14,2018-06-05,360000
Queens,10488_14,10488,14,2019-01-07,645000
Queens,14199_27,14199,27,2018-03-13,328500
Queens,14199_27,14199,27,2018-06-29,560000
Queens,11780_121,11780,121,2018-11-20,470000
Queens,9318_5,9318,5,2019-11-12,560000
Staten Island,3681_56,3681,56,2018-06-21,385000
Staten Island,3681_56,3681,56,2019-02-26,563000
Manhattan,1212_1002_416,1212,1002,2023-08-22,1462500
Brooklyn,1958_1007,1958,1007,2021-02-17,999999
Staten Island,3651_94,3651,94,2019-02-14,554946
Queens,13735_24,13735,24,2018-05-04,335500
Queens,13735_24,13735,24,2018-09-26,539000
Queens,12032_55,12032,55,2018-07-20,577500
Staten Island,208_60,208,60,2019-03-21,723339
Staten Island,208_60,208,60,2019-06-04,330057
Manhattan,814_1021,814,1021,2022-08-10,750000
Staten Island,630_54,630,54,2019-10-15,1743123
Staten Island,630_54,630,54,2021-06-16,962500
Staten Island,630_54,630,54,2021-12-13,995000
Queens,10194_32,10194,32,2020-03-02,470000
Queens,11725_3,11725,3,2019-01-10,413950
Queens,11725_3,11725,3,2019-03-14,380250
Queens,11725_3,11725,3,2019-09-27,660000
Manhattan,1438_1109,1438,1109,2022-11-09,1960000
Queens,12674_79,12674,79,2018-05-03,505000
Bronx,4766_25,4766,25,2018-07-11,270000
Bronx,4766_25,4766,25,2018-11-30,385000
Brooklyn,5543_56,5543,56,2018-05-03,970000
Brooklyn,5209_36,5209,36,2018-11-01,555000
Brooklyn,5209_36,5209,36,2020-03-16,1375000
Staten Island,1124_2,1124,2,2021-11-05,275000
Staten Island,1124_2,1124,2,2022-07-18,465000
Queens,11144_8,11144,8,2018-08-20,390390
Queens,11144_8,11144,8,2019-12-18,640000
Staten Island,1675_5,1675,5,2019-05-02,356937
Staten Island,1675_5,1675,5,2020-05-06,260777
Queens,10366_32,10366,32,2021-02-05,480000
Brooklyn,45_1093,45,1093,2019-04-08,960000
Bronx,5055_46,5055,46,2019-07-02,395000
Bronx,5055_46,5055,46,2020-09-21,590000
Brooklyn,8268_26,8268,26,2019-09-19,550000
Queens,4537_105,4537,105,2018-03-19,600000
Queens,2399_49,2399,49,2022-06-13,530000
Queens,2399_49,2399,49,2022-10-26,927000
Queens,13518_19,13518,19,2022-04-26,320000
Queens,13518_19,13518,19,2022-09-08,689000
Queens,12027_51,12027,51,2018-06-08,306609
Queens,12027_51,12027,51,2018-11-20,515000
Queens,8973_11,8973,11,2018-11-13,678000
Bronx,5119_14,5119,14,2018-02-22,315000
Bronx,5119_14,5119,14,2018-07-27,465000
Manhattan,814_1026,814,1026,2022-07-22,750000
Queens,12997_127,12997,127,2018-05-10,320424
Queens,12997_127,12997,127,2018-07-31,435000
Queens,12614_6,12614,6,2019-05-20,270000
Queens,12614_6,12614,6,2022-02-22,721000
Staten Island,1029_59,1029,59,2018-07-20,263640
Staten Island,1029_59,1029,59,2018-11-21,520000
Staten Island,1169_26,1169,26,2018-10-29,250205
Staten Island,1169_26,1169,26,2019-08-29,380000
Brooklyn,7731_13,7731,13,2018-10-30,565000
Brooklyn,8477_31,8477,31,2019-03-27,485000
Brooklyn,8477_31,8477,31,2019-11-14,700000
Queens,10041_119,10041,119,2019-11-13,495000
Bronx,4650_36,4650,36,2018-05-11,298960
Brooklyn,8025_30,8025,30,2018-01-12,275000
Brooklyn,8025_30,8025,30,2019-11-07,477000
Queens,10947_53,10947,53,2020-01-30,380250
Queens,10947_53,10947,53,2020-07-21,610000
Queens,10876_61,10876,61,2020-10-26,400000
Queens,10876_61,10876,61,2021-05-10,685000
Manhattan,1171_3242,1171,3242,2019-09-12,1450000
Bronx,4857_39,4857,39,2021-09-09,530000
Brooklyn,4974_34,4974,34,2018-05-25,381163
Brooklyn,4974_34,4974,34,2019-04-16,520000
Queens,12522_71,12522,71,2018-01-31,440000
Manhattan,27_1058,27,1058,2018-12-17,1609134
Manhattan,27_1058,27,1058,2019-03-28,643534
Queens,9441_148,9441,148,2020-12-08,585000
Queens,12071_52,12071,52,2018-11-28,369750
Queens,12071_52,12071,52,2021-12-28,340508
Queens,12071_52,12071,52,2022-07-06,636000
Staten Island,5350_76,5350,76,2018-09-27,270000
Staten Island,5350_76,5350,76,2019-02-28,400000
Staten Island,5350_76,5350,76,2020-02-25,1175000
Bronx,5577_98,5577,98,2018-06-26,320000
Bronx,5577_98,5577,98,2019-10-30,520000
Staten Island,6020_144,6020,144,2022-04-21,445000
Staten Island,6020_144,6020,144,2022-08-17,675000
Manhattan,26_1174,26,1174,2019-05-23,905000
Brooklyn,6767_39,6767,39,2018-02-05,718250
Brooklyn,6767_39,6767,39,2018-04-23,552000
Brooklyn,6767_39,6767,39,2019-06-14,965000
Queens,12015_82,12015,82,2018-08-07,300000
Queens,12015_82,12015,82,2019-01-29,609000
Queens,10167_63,10167,63,2018-12-18,530000
Queens,8876_20,8876,20,2020-01-08,510000
Queens,8876_20,8876,20,2020-07-27,430000
Queens,8876_20,8876,20,2021-01-12,725000
Queens,10541_83,10541,83,2021-05-26,650000
Queens,11863_20,11863,20,2019-01-09,500000
Queens,11863_20,11863,20,2020-02-27,723000
Brooklyn,8876_2720,8876,2720,2019-01-14,294000
Brooklyn,8876_2720,8876,2720,2019-09-05,525000
Brooklyn,8366_131,8366,131,2018-07-19,997382
Brooklyn,8366_131,8366,131,2018-11-06,539928
Brooklyn,8366_131,8366,131,2019-11-21,775000
Queens,12203_207,12203,207,2023-08-25,1006000
Bronx,4634_70,4634,70,2019-01-04,320000
Bronx,4634_70,4634,70,2019-12-10,499500
Brooklyn,4850_3,4850,3,2018-07-05,550000
Manhattan,594_1729,594,1729,2020-03-13,2100000
Manhattan,608_1079,608,1079,2019-07-22,280000
Manhattan,608_1079,608,1079,2021-11-01,1550000
Manhattan,584_1002_3g,584,1002,2020-05-22,1300000
Staten Island,556_140,556,140,2018-02-09,596506
Staten Island,556_140,556,140,2018-03-23,257125
Staten Island,556_140,556,140,2018-10-29,380000
Staten Island,6030_152,6030,152,2019-09-09,286014
Staten Island,6030_152,6030,152,2021-10-20,313000
Staten Island,6030_152,6030,152,2022-04-14,444000
Queens,13493_38,13493,38,2018-07-25,315000
Queens,13493_38,13493,38,2018-12-12,830000
Manhattan,589_14_15,589,14,2022-01-11,460000
Queens,5994_6,5994,6,2023-08-07,1250000
Queens,13517_16,13517,16,2018-05-15,490000
Bronx,3691_71,3691,71,2022-04-13,450000
Bronx,3691_71,3691,71,2022-07-13,650000
Brooklyn,7760_70,7760,70,2019-09-21,519662
Brooklyn,7760_70,7760,70,2019-12-27,378500
Brooklyn,8538_45,8538,45,2023-09-14,770000
Queens,11127_55,11127,55,2019-08-14,580000
Queens,11165_3,11165,3,2019-07-10,555000
Queens,10634_11,10634,11,2018-07-03,680000
Manhattan,862_1335,862,1335,2018-12-03,520000
Manhattan,862_1335,862,1335,2020-02-27,910000
Manhattan,865_1022,865,1022,2020-01-27,2100000
Manhattan,865_1022,865,1022,2020-02-07,1850000
Bronx,3389_1,3389,1,2019-05-01,410000
Bronx,3389_1,3389,1,2020-03-05,650000
Brooklyn,3757_65,3757,65,2018-05-29,355500
Brooklyn,3757_65,3757,65,2020-05-07,375000
Brooklyn,3757_65,3757,65,2020-09-25,545000
Queens,10064_67,10064,67,2022-08-22,590000
Queens,9149_57,9149,57,2023-05-30,460000
Queens,9149_57,9149,57,2023-10-13,650000
Queens,10230_44,10230,44,2018-04-25,499900
Manhattan,1152_1049,1152,1049,2022-07-01,1850000
Brooklyn,1164_51_2a,1164,51,2018-01-03,259000
Brooklyn,1164_51_2a,1164,51,2022-04-20,986000
Brooklyn,1658_35,1658,35,2018-11-09,1830000
Queens,12004_276,12004,276,2020-10-26,392330
Queens,12004_276,12004,276,2021-03-04,569000
Queens,10495_64,10495,64,2021-03-22,675000
Queens,7043_42,7043,42,2018-05-11,335000
Queens,7043_42,7043,42,2019-05-14,750000
Queens,12103_5,12103,5,2018-03-21,480000
Brooklyn,7998_61,7998,61,2019-10-24,255000
Brooklyn,7998_61,7998,61,2020-05-04,635000
Queens,10150_15,10150,15,2019-06-25,535000
Queens,10655_12,10655,12,2018-03-30,590000
Manhattan,26_1049,26,1049,2018-05-01,940000
Queens,9355_43,9355,43,2018-02-08,305000
Queens,9355_43,9355,43,2018-11-28,450000
Brooklyn,5171_36,5171,36,2018-07-24,1100000
Queens,1426_58,1426,58,2018-05-11,432000
Queens,1426_58,1426,58,2019-01-16,625000
Bronx,5022_89,5022,89,2019-08-26,287000
Bronx,5022_89,5022,89,2020-08-05,560000
Queens,3321_1336,3321,1336,2018-06-01,595027
Queens,3321_1336,3321,1336,2019-05-09,399000
Queens,3321_1336,3321,1336,2020-12-24,490000
Queens,11606_51,11606,51,2019-09-20,470000
Manhattan,27_1016,27,1016,2018-03-12,1336900
Manhattan,27_1016,27,1016,2018-11-09,903000
Manhattan,27_1016,27,1016,2021-01-22,945000
Queens,10375_3,10375,3,2019-08-07,465360
Queens,10375_3,10375,3,2020-06-17,386000
Queens,10375_3,10375,3,2020-11-04,610000
Queens,13226_8,13226,8,2018-02-01,375180
Queens,13226_8,13226,8,2018-10-24,634500
Queens,1108_19,1108,19,2020-10-28,680000
Queens,13180_4,13180,4,2018-10-31,280000
Queens,13180_4,13180,4,2019-03-14,639000
Queens,12365_11,12365,11,2021-11-17,495000
Queens,12365_11,12365,11,2022-03-21,699000
Queens,10194_3,10194,3,2018-07-11,512500
Bronx,4702_34,4702,34,2018-06-11,330000
Bronx,4702_34,4702,34,2018-12-17,490000
Queens,9478_34,9478,34,2018-02-22,280000
Queens,9478_34,9478,34,2018-09-11,585000
Queens,3321_1334,3321,1334,2022-12-12,580000
Brooklyn,6274_8,6274,8,2023-01-26,1250000
Brooklyn,4381_20,4381,20,2019-10-18,372160
Brooklyn,4381_20,4381,20,2020-02-20,560000
Queens,8254_63,8254,63,2019-05-03,1625000
Staten Island,1016_29,1016,29,2018-05-08,299130
Staten Island,1016_29,1016,29,2019-01-03,470000
Manhattan,1047_1259,1047,1259,2018-06-07,582250
Manhattan,1047_1259,1047,1259,2019-06-17,462000
Manhattan,1047_1259,1047,1259,2019-12-19,680600
Queens,11301_135,11301,135,2023-05-03,1137043
Queens,11301_135,11301,135,2023-10-06,489769
Queens,13573_3,13573,3,2019-09-10,425880
Queens,13573_3,13573,3,2023-07-18,1365000
Manhattan,193_1706,193,1706,2020-06-11,2900000
Bronx,3897_53,3897,53,2018-02-22,459000
Staten Island,2922_61,2922,61,2021-02-04,325000
Staten Island,2922_61,2922,61,2021-09-23,590000
Queens,9554_40,9554,40,2019-10-08,630000
Queens,11675_3,11675,3,2019-06-13,680000
Queens,11779_38,11779,38,2018-10-31,313700
Queens,11779_38,11779,38,2020-02-13,330000
Queens,12893_102,12893,102,2018-08-01,520000
Queens,11030_56,11030,56,2020-12-30,699000
Staten Island,1229_118,1229,118,2019-07-10,297102
Staten Island,1229_118,1229,118,2023-04-13,320000
Staten Island,1229_118,1229,118,2023-07-31,435000
Brooklyn,7833_2,7833,2,2018-08-16,302424
Brooklyn,7833_2,7833,2,2019-07-16,605000
Brooklyn,7902_75,7902,75,2019-08-30,285000
Brooklyn,7902_75,7902,75,2020-07-31,685000
Manhattan,26_1082,26,1082,2023-01-30,1127500
Queens,11783_42,11783,42,2019-09-16,750929
Queens,11783_42,11783,42,2019-11-08,361466
Queens,11783_42,11783,42,2021-07-09,552000
Queens,10302_7,10302,7,2022-01-06,815000
Queens,10924_52,10924,52,2019-07-31,285000
Queens,10924_52,10924,52,2020-02-12,430000
Queens,13215_3,13215,3,2018-10-04,395000
Queens,13215_3,13215,3,2019-04-30,635000
Manhattan,26_1206,26,1206,2021-12-01,1050000
Manhattan,1020_1159,1020,1159,2019-02-27,1680127
