address,apartment_number,block,gross_square_feet,lot,neighborhood,sale_date,sale_price,year_built
"254 EAST 7TH STREET, 15-16               ",            ,376,0.0,19,Alphabet City,2010-03-31,995000,1910.0
"206 EAST 7TH STREET, 1920                ",            ,389,0.0,21,Alphabet City,2010-02-12,518950,1900.0
"633 EAST 11 STREET, 10                   ",            ,394,0.0,52,Alphabet City,2010-02-08,400000,1937.0
"633 EAST 11TH STREET, 2                  ",            ,394,0.0,52,Alphabet City,2010-04-30,420000,1937.0
"223-225 EAST 4TH STREET, 3 4             ",            ,400,0.0,47,Alphabet City,2010-04-07,700000,1937.0
"102 AVENUE B, 3                          ",            ,402,0.0,39,Alphabet City,2010-03-26,800000,1900.0
"527 EAST 12TH, A6                        ",            ,406,0.0,50,Alphabet City,2010-01-08,336000,1901.0
"507 EAST 12TH STREET, 3A                 ",            ,406,0.0,61,Alphabet City,2010-01-25,420000,1900.0
"50 AVENUE A, 3B                          ",            ,399,0.0,1002,Alphabet City,2010-04-01,800000,1920.0
"214 AVENUE A, TERR                       ",            ,407,0.0,1003,Alphabet City,2010-02-24,220000,1920.0
"214 AVENUE A, 2E                         ",            ,407,0.0,1003,Alphabet City,2010-04-28,417000,1920.0
"405 WEST 21ST STREET, 2R                 ",            ,719,0.0,36,Chelsea,2010-02-25,615000,1900.0
"411 WEST 22ND STREET, 3FR                ",            ,720,0.0,42,Chelsea,2010-04-30,795000,1900.0
"410 WEST 25TH STREET, 4A                 ",            ,722,0.0,47,Chelsea,2010-01-04,518000,1910.0
"321 WEST 14TH STREET, 1                  ",            ,738,0.0,23,Chelsea,2010-04-06,950000,1900.0
"330 WEST 17TH   STREET, 1E               ",            ,740,0.0,48,Chelsea,2010-04-28,515000,1900.0
"334 WEST 17TH STREET, BE                 ",            ,740,0.0,50,Chelsea,2010-04-26,439000,1900.0
"314 WEST 19TH   STREET, 1A               ",            ,742,0.0,47,Chelsea,2010-02-09,1400000,1920.0
"332 WEST 19TH STREET, PHA                ",            ,742,0.0,56,Chelsea,2010-01-06,1325000,1910.0
"334 WEST 19TH STREET, PH-B               ",            ,742,0.0,57,Chelsea,2010-01-11,1705000,1910.0
"365 WEST 19TH   STREET, 3R               ",            ,743,0.0,6,Chelsea,2010-05-27,800000,1910.0
"329 WEST 19TH STREET, 3                  ",            ,743,0.0,24,Chelsea,2010-03-17,975000,1920.0
"337 WEST 20TH STREET, 4A                 ",            ,744,0.0,18,Chelsea,2010-01-07,517500,1850.0
"326 WEST 22ND STREET, 2F                 ",            ,745,0.0,52,Chelsea,2010-02-25,485000,1920.0
"334 WEST 22ND STREET, 12                 ",            ,745,0.0,56,Chelsea,2010-01-29,536000,1925.0
"347 WEST 22ND STREET, 10                 ",            ,746,0.0,12,Chelsea,2010-02-19,1255000,1910.0
"227 WEST 16TH STREET, 3RW                ",            ,766,0.0,23,Chelsea,2010-01-15,320000,1910.0
"231 WEST 16TH STREET, 5WF                ",            ,766,0.0,23,Chelsea,2010-01-04,935000,1910.0
"229 WEST 16TH STREET, 2C                 ",            ,766,0.0,23,Chelsea,2010-04-27,433250,1910.0
"256 WEST 21ST   STREET, G3               ",            ,770,0.0,70,Chelsea,2010-01-13,2175000,1900.0
"261 WEST 22ND STREET, 22                 ",            ,772,0.0,12,Chelsea,2010-02-19,470000,1917.0
"136 WEST 16TH STREET, 5E                 ",            ,791,0.0,66,Chelsea,2010-05-26,1250000,1910.0
"146 WEST 16TH STREET, 3AB                ",            ,791,0.0,70,Chelsea,2010-03-04,867500,1920.0
"148 WEST 16TH STREET, 8                  ",            ,791,0.0,71,Chelsea,2010-03-17,575000,1920.0
"465 WEST 23RD   STREET, 10B              ",            ,721,0.0,1008,Chelsea,2010-01-14,850000,1932.0
"465 WEST 23RD   STREET, RCU1             ",            ,721,0.0,1008,Chelsea,2010-02-25,447641,1932.0
"410 WEST 24TH STREET, 4IJ                ",            ,721,0.0,1008,Chelsea,2010-03-08,1250000,1932.0
"465 WEST 23RD   STREET, 6F               ",            ,721,0.0,1008,Chelsea,2010-04-22,425000,1932.0
"465 WEST 23RD   STREET, RCU1             ",            ,721,0.0,1008,Chelsea,2010-04-29,834818,1932.0
"470 WEST 24TH   STREET, 9A               ",            ,721,0.0,1008,Chelsea,2010-05-26,787500,1932.0
"470 WEST 24TH STREET, 2B                 ",            ,721,0.0,1062,Chelsea,2010-02-24,634500,0.0
"410 WEST 24TH STREET, 16A                ",            ,721,0.0,1062,Chelsea,2010-03-01,440000,0.0
"405 WEST 23RD   STREET, 14E              ",            ,721,0.0,1062,Chelsea,2010-03-30,785000,0.0
"465 WEST 23RD   STREET, 2F               ",            ,721,0.0,1062,Chelsea,2010-05-12,415000,0.0
"360 WEST 22 STREET, 12F                  ",            ,745,0.0,1104,Chelsea,2010-02-11,655000,0.0
"360 WEST 22 STREET, 7E                   ",            ,745,0.0,1104,Chelsea,2010-02-05,999000,0.0
"300 WEST 23RD STREET, 15J                ",            ,746,0.0,1202,Chelsea,2010-01-26,370000,1931.0
"249 8 AVENUE, 16-I                       ",            ,746,0.0,1202,Chelsea,2010-02-24,360000,1931.0
"300 WEST 23RD STREET, 5J                 ",            ,746,0.0,1202,Chelsea,2010-03-15,295000,1931.0
"249 8 AVENUE, 8M                         ",            ,746,0.0,1202,Chelsea,2010-04-13,350000,1931.0
"300 WEST 23RD STREET, 13E                ",            ,746,0.0,1202,Chelsea,2010-05-11,640000,1931.0
"160 7 AVENUE, 1509                       ",            ,769,0.0,1104,Chelsea,2010-01-14,410000,1980.0
"200 WEST 20TH STREET, 504                ",            ,769,0.0,1104,Chelsea,2010-03-09,390000,1980.0
"200 WEST 20TH STREET, 1107               ",            ,769,0.0,1104,Chelsea,2010-03-10,360000,1980.0
"160 7 AVENUE, RES                        ",            ,769,0.0,1104,Chelsea,2010-05-05,437500,1980.0
"200 WEST 20TH STREET, 304                ",            ,769,0.0,1104,Chelsea,2010-05-28,360000,1980.0
"130 WEST 17TH STREET, 6N                 ",            ,792,0.0,1202,Chelsea,2010-04-14,1800000,1906.0
"161 WEST 16TH STREET, 8H                 ",            ,792,0.0,1302,Chelsea,2010-04-20,750000,1930.0
"161 WEST 16TH STREET, 5A                 ",            ,792,0.0,1302,Chelsea,2010-05-27,525000,1930.0
"70 THOMAS STREET, 5                      ",            ,147,0.0,18,Civic Center,2010-01-20,1150000,1915.0
"9 WHITE STREET, PH5 6                    ",            ,178,0.0,24,Civic Center,2010-02-24,3615000,1912.0
"424 WEST 46TH STREET, 5AB                ",            ,1055,0.0,47,Clinton,2010-01-07,535000,1910.0
"434 WEST 47TH STREET, 4E                 ",            ,1056,0.0,48,Clinton,2010-05-17,657000,1920.0
"463 WEST 47TH STREET, GRDN 1             ",            ,1057,0.0,6,Clinton,2010-05-26,695000,1910.0
"404 WEST 48 STREET, 1-A                  ",            ,1057,0.0,37,Clinton,2010-01-14,250000,1900.0
"413 WEST 48TH STREET, 5R                 ",            ,1058,0.0,24,Clinton,2010-03-11,434500,1910.0
"728 10TH AVENUE, 2                       ",            ,1059,0.0,163,Clinton,2010-01-22,614500,1910.0
"431 WEST 54TH STREET, 1C                 ",            ,1064,0.0,15,Clinton,2010-01-20,475000,1910.0
"857 NINTH AVENUE, 5C                     ",            ,1065,0.0,34,Clinton,2010-02-09,360000,1901.0
"857 NINTH AVE, 1D                        ",            ,1065,0.0,34,Clinton,2010-05-19,304500,1901.0
"463 WEST 57TH STREET, 1A                 ",            ,1067,0.0,7,Clinton,2010-02-19,280000,1910.0
"520 WEST 50TH STREET, E1                 ",            ,1078,0.0,45,Clinton,2010-04-27,282500,1901.0
"529 WEST 42ND STREET, 8M                 ",            ,1071,0.0,1401,Clinton,2010-03-09,850000,0.0
"529 WEST 42ND STREET, 2V                 ",            ,1071,0.0,1401,Clinton,2010-04-16,625000,0.0
"87 SAINT MARKS, 1D                       ",            ,436,0.0,57,East Village,2010-04-14,380000,1940.0
"87 ST. MARKS PLACE, 4D                   ",            ,436,0.0,57,East Village,2010-03-12,375000,1940.0
"120 SECOND AVENUE, 4C                    ",            ,449,0.0,2,East Village,2010-02-12,475000,1920.0
"321 EAST 12TH STREET, 27                 ",            ,454,0.0,60,East Village,2010-02-16,515000,1920.0
"307 EAST 12TH STREET, 3C                 ",            ,454,0.0,66,East Village,2010-05-21,270000,1920.0
"32 E 2ND STREET, 17                      ",            ,458,0.0,32,East Village,2010-05-10,412000,1900.0
"227 EAST 12TH STREET, 2C                 ",            ,468,0.0,48,East Village,2010-04-08,567500,1920.0
"125 EAST 4TH STREET, 9                   ",            ,446,0.0,1002,East Village,2010-03-10,512000,0.0
"99 EAST 4TH STREET, 2K                   ",            ,446,0.0,1102,East Village,2010-01-21,685000,1928.0
"99 EAST 4TH STREET, 1H                   ",            ,446,0.0,1102,East Village,2010-02-25,510000,1928.0
"85 1 AVENUE, 5B/6B                       ",            ,447,0.0,1002,East Village,2010-01-27,831500,0.0
"105 3 AVENUE, 4C                         ",            ,469,0.0,1102,East Village,2010-03-11,610000,1900.0
"111 3 AVENUE, 8H                         ",            ,469,0.0,1102,East Village,2010-03-24,545000,1900.0
"28-34 WEST 40TH   STREET, 4S             ",            ,841,0.0,66,Fashion,2010-04-19,875000,1920.0
"65 NASSAU STREET, 9A                     ",            ,65,0.0,1001,Financial,2010-04-22,375000,1900.0
"23 WEST 16TH STREET, 3                   ",            ,818,0.0,22,Flatiron,2010-04-21,1835000,1925.0
"42 WEST 15TH STREET, 6TH F               ",            ,816,0.0,1202,Flatiron,2010-02-11,1970000,1903.0
"42 WEST 15TH STREET, 2                   ",            ,816,0.0,1202,Flatiron,2010-03-15,1675000,1903.0
"69 FIFTH AVENUE, 5A                      ",            ,842,0.0,1002,Flatiron,2010-01-27,403000,1961.0
"69 FIFTH AVENUE, 9F                      ",            ,842,0.0,1002,Flatiron,2010-04-20,810000,1961.0
"73 5 AVENUE, 11B                         ",            ,843,0.0,1005,Flatiron,2010-02-01,4200000,0.0
"29 EAST 22ND STREET, 5N                  ",            ,851,0.0,1802,Flatiron,2010-04-30,1625000,1907.0
"224 EAST 17TH STREET, 2R                 ",            ,897,0.0,63,Gramercy,2010-01-27,765000,1900.0
"224 EAST 17TH STREET, 5R                 ",            ,897,0.0,63,Gramercy,2010-04-09,505000,1900.0
"210 EAST 17TH STREET, 5B                 ",            ,897,0.0,69,Gramercy,2010-02-25,565000,1903.0
"224 EAST 18 STREET, 4B                   ",            ,898,0.0,43,Gramercy,2010-05-18,310000,1920.0
"61 LEXINGTON AVENUE, 6C                  ",            ,881,0.0,1016,Gramercy,2010-01-11,390000,0.0
"235 EAST 22ND   STREET, 5KL              ",            ,903,0.0,1127,Gramercy,2010-01-11,1775000,1931.0
"235 EAST 22ND   STREET, 15-O             ",            ,903,0.0,1127,Gramercy,2010-02-12,599000,1931.0
"235 EAST 22ND   STREET, RES1             ",            ,903,0.0,1127,Gramercy,2010-03-16,1062000,1931.0
"235 EAST 22ND   STREET, 13C              ",            ,903,0.0,1127,Gramercy,2010-04-06,800000,1931.0
"235 EAST 22ND   STREET, 5F               ",            ,903,0.0,1127,Gramercy,2010-04-08,620000,1931.0
"316 MOTT STREET, 2F                      ",            ,521,0.0,34,Greenwich Village-Central,2010-02-26,358000,1900.0
"302 ELIZABETH STREET, 2                  ",            ,521,0.0,70,Greenwich Village-Central,2010-01-26,1175000,1900.0
"69 WASHINGTON PLACE, 3                   ",            ,552,0.0,63,Greenwich Village-Central,2010-05-25,1450000,1900.0
"126 EAST 12TH STREET, 4A                 ",            ,556,0.0,52,Greenwich Village-Central,2010-05-12,740000,1900.0
"39 EAST 10TH STREET, 1W                  ",            ,562,0.0,38,Greenwich Village-Central,2010-02-22,1625000,1900.0
"2 EAST 12TH STREET, GFRS                 ",            ,569,0.0,7,Greenwich Village-Central,2010-05-26,1710000,1900.0
"45 WEST 11TH STREET, 4-A                 ",            ,575,0.0,72,Greenwich Village-Central,2010-05-17,331200,1846.0
"45 WEST 11TH STREET, 6D                  ",            ,575,0.0,72,Greenwich Village-Central,2010-05-19,727500,1846.0
"250 MERCER STREET, C212                  ",            ,535,0.0,1002,Greenwich Village-Central,2010-01-15,960000,1900.0
"250 MERCER STREET, A801                  ",            ,535,0.0,1002,Greenwich Village-Central,2010-01-27,1775000,1900.0
"250 MERCER STREET, B506                  ",            ,535,0.0,1002,Greenwich Village-Central,2010-02-22,1475000,1900.0
"250 MERCER STREET, C-605                 ",            ,535,0.0,1002,Greenwich Village-Central,2010-05-12,999500,1900.0
"250 MERCER STREET, B604                  ",            ,535,0.0,1002,Greenwich Village-Central,2010-05-28,520000,1900.0
"60 EAST 8TH STREET, 14L                  ",            ,548,0.0,1003,Greenwich Village-Central,2010-01-05,900000,1965.0
"60 EAST 8TH STREET, 12A                  ",            ,548,0.0,1003,Greenwich Village-Central,2010-01-19,799000,1965.0
"60 EAST 8TH STREET, 32N                  ",            ,548,0.0,1003,Greenwich Village-Central,2010-03-10,985000,1965.0
"60 EAST 8TH STREET, 25L                  ",            ,548,0.0,1003,Greenwich Village-Central,2010-04-01,910000,1965.0
"60 EAST 8TH STREET, 5N                   ",            ,548,0.0,1003,Greenwich Village-Central,2010-04-07,860000,1965.0
"60 EAST 8TH STREET, 27E                  ",            ,548,0.0,1003,Greenwich Village-Central,2010-04-08,2725000,1965.0
"60 EAST 8 STREET, 32N                    ",            ,548,0.0,1003,Greenwich Village-Central,2010-05-12,985000,1965.0
"60 EAST 8 STREET, 34L                    ",            ,548,0.0,1003,Greenwich Village-Central,2010-05-12,948323,1965.0
"30 EAST 9TH   STREET, 3M                 ",            ,560,0.0,1003,Greenwich Village-Central,2010-01-28,885000,1955.0
"30 EAST 9TH   STREET, 3 BB               ",            ,560,0.0,1003,Greenwich Village-Central,2010-02-23,800000,1955.0
"30 EAST 9TH   STREET, 5EE                ",            ,560,0.0,1003,Greenwich Village-Central,2010-03-31,780000,1955.0
"30 EAST 9TH   STREET, 2KK                ",            ,560,0.0,1003,Greenwich Village-Central,2010-04-20,930000,1955.0
"40 EAST 9TH   STREET, 7K                 ",            ,560,0.0,1103,Greenwich Village-Central,2010-04-06,875000,1959.0
"60 EAST 9TH   STREET, 526                ",            ,560,0.0,1203,Greenwich Village-Central,2010-01-12,769716,1954.0
"60 EAST 9TH   STREET, 433                ",            ,560,0.0,1203,Greenwich Village-Central,2010-02-24,635000,1954.0
"60 EAST 9TH STREET, 541                  ",            ,560,0.0,1203,Greenwich Village-Central,2010-03-17,425000,1954.0
"60 EAST 9TH   STREET, 610                ",            ,560,0.0,1203,Greenwich Village-Central,2010-03-22,620000,1954.0
"60 EAST 9TH   STREET, 3                  ",            ,560,0.0,1203,Greenwich Village-Central,2010-03-25,630000,1954.0
"60 EAST 9TH   STREET, 633                ",            ,560,0.0,1203,Greenwich Village-Central,2010-05-04,645000,1954.0
"63 EAST 9TH STREET, 11B                  ",            ,561,0.0,1003,Greenwich Village-Central,2010-04-28,491000,1955.0
"63 EAST 9TH STREET, 9G                   ",            ,561,0.0,1003,Greenwich Village-Central,2010-05-06,745000,1955.0
"7 EAST 13TH   STREET, RES                ",            ,571,0.0,1002,Greenwich Village-Central,2010-03-23,1100000,1980.0
"7 EAST 13TH   STREET, 4G                 ",            ,571,0.0,1002,Greenwich Village-Central,2010-04-01,475000,1980.0
"7 EAST 13TH   STREET, RES                ",            ,571,0.0,1002,Greenwich Village-Central,2010-05-07,975000,1980.0
"69 WEST 9TH   STREET, 6G                 ",            ,573,0.0,1006,Greenwich Village-Central,2010-01-05,700000,1959.0
"69 WEST 9TH   STREET, 7K                 ",            ,573,0.0,1006,Greenwich Village-Central,2010-02-04,743750,1959.0
"69 WEST 9TH   STREET, RES                ",            ,573,0.0,1006,Greenwich Village-Central,2010-04-01,1630000,1959.0
"69 WEST 9TH STREET, 7D                   ",            ,573,0.0,1006,Greenwich Village-Central,2010-04-14,390000,1959.0
"69 WEST 9TH STREET, 5E                   ",            ,573,0.0,1006,Greenwich Village-Central,2010-04-29,350000,1959.0
"69 WEST 9TH STREET, PHF                  ",            ,573,0.0,1006,Greenwich Village-Central,2010-05-04,772000,1959.0
"53 WEST 11TH STREET, 4/5E                ",            ,575,0.0,1002,Greenwich Village-Central,2010-05-05,1365000,1900.0
"49 DOWNING STREET, 3B                    ",            ,528,0.0,82,Greenwich Village-West,2010-03-24,820000,1896.0
"51 MORTON STREET, 3A                     ",            ,584,0.0,45,Greenwich Village-West,2010-01-28,420000,1900.0
"102 BEDFORD STREET, 11                   ",            ,588,0.0,42,Greenwich Village-West,2010-05-19,378000,1900.0
"26 CORNELIA STREET, 12                   ",            ,589,0.0,14,Greenwich Village-West,2010-01-06,300000,1920.0
"32 JONES STREET, 2C                      ",            ,590,0.0,11,Greenwich Village-West,2010-04-29,380000,1930.0
"139 WEST 13TH STREET, 1                  ",            ,609,0.0,164,Greenwich Village-West,2010-01-27,1125000,1910.0
"138 WEST 10TH STREET, 3RE                ",            ,610,0.0,48,Greenwich Village-West,2010-03-26,425000,1900.0
"227 WEST 11TH STREET, 44                 ",            ,614,0.0,32,Greenwich Village-West,2010-05-26,570000,1915.0
"84 CHARLES STREET, 14                    ",            ,620,0.0,54,Greenwich Village-West,2010-02-22,645000,1900.0
"84 CHARLES STREET, 10                    ",            ,620,0.0,54,Greenwich Village-West,2010-05-17,631139,1900.0
"211 WEST 10TH STREET, 3C                 ",            ,620,0.0,82,Greenwich Village-West,2010-04-01,800000,1920.0
"211 WEST 10TH STREET, 6B                 ",            ,620,0.0,82,Greenwich Village-West,2010-05-10,177000,1920.0
"72 PERRY STREET, 4A                      ",            ,621,0.0,49,Greenwich Village-West,2010-04-27,557000,1910.0
"396 BLEECKER STREET, 1F                  ",            ,622,0.0,17,Greenwich Village-West,2010-04-08,440000,1910.0
"77 PERRY STREET, 1-B                     ",            ,622,0.0,65,Greenwich Village-West,2010-02-12,450000,1900.0
"815 GREENWICH ST, 3B                     ",            ,626,0.0,4,Greenwich Village-West,2010-04-01,505000,1947.0
"53 HORATIO STREET, 1                     ",            ,627,0.0,21,Greenwich Village-West,2010-03-22,535000,1929.0
"509 HUDSON STREET, 3S                    ",            ,630,0.0,43,Greenwich Village-West,2010-02-18,790000,1911.0
"256 WEST 10TH STREET, 1B                 ",            ,630,0.0,43,Greenwich Village-West,2010-03-26,925000,1911.0
"695 WASHINGTON STREET, A                 ",            ,632,0.0,6,Greenwich Village-West,2010-01-29,925000,1922.0
"344 WEST 11TH STREET, 4E                 ",            ,633,0.0,6,Greenwich Village-West,2010-04-07,740000,1900.0
"135 PERRY STREET, 8                      ",            ,633,0.0,30,Greenwich Village-West,2010-03-25,672000,1900.0
"690 WASHINGTON STREET, 2-B               ",            ,637,0.0,30,Greenwich Village-West,2010-02-16,1280000,1973.0
"156 BANK STREET, 1B                      ",            ,638,0.0,19,Greenwich Village-West,2010-01-26,620000,1939.0
"158 BANK STREET, 1-A                     ",            ,638,0.0,19,Greenwich Village-West,2010-05-28,690000,1939.0
"20 BETHUNE STREET, 2B                    ",            ,640,0.0,64,Greenwich Village-West,2010-04-22,390000,1920.0
"34-36 BETHUNE STREET, 4R                 ",            ,640,0.0,71,Greenwich Village-West,2010-04-21,257000,1915.0
"87 BARROW STREET, 5A                     ",            ,584,0.0,1002,Greenwich Village-West,2010-01-08,590000,1925.0
"87 BARROW STREET, B5E                    ",            ,584,0.0,1002,Greenwich Village-West,2010-02-18,580000,1925.0
"85 BARROW STREET, B4N                    ",            ,584,0.0,1002,Greenwich Village-West,2010-04-05,620000,1925.0
"9 BARROW STREET, 7N                      ",            ,590,0.0,1102,Greenwich Village-West,2010-01-08,545000,1930.0
"9 BARROW STREET, 2E                      ",            ,590,0.0,1102,Greenwich Village-West,2010-02-09,429936,1930.0
"10 CHRISTOPHER STREET, 4E                ",            ,593,0.0,1002,Greenwich Village-West,2010-01-28,630000,1910.0
"295 WEST 11TH   STREET, 2                ",            ,623,0.0,1002,Greenwich Village-West,2010-04-20,534581,0.0
"130 MALCOLM X BOULEVARD, 515             ",            ,1600,0.0,1002,Harlem-Central,2010-04-12,370000,1999.0
"300 WEST 145 STREET, 5K                  ",            ,2044,0.0,1104,Harlem-Central,2010-01-29,435000,2003.0
"130 BRADHURST AVENUE, 1                  ",            ,2045,0.0,1501,Harlem-Central,2010-01-28,57402625,2007.0
230 EAST 97TH   STREET                   ,            ,1646,0.0,31,Harlem-East,2010-05-26,1200000,1920.0
"1787 MADISON AVENUE, 710                 ",            ,1623,0.0,1002,Harlem-East,2010-01-29,450000,0.0
"215 EAST 96TH   STREET, CONDP            ",            ,1646,0.0,1103,Harlem-East,2010-04-05,655000,2005.0
"450-454 WEST 152ND STREET, 1             ",            ,2066,0.0,51,Harlem-Upper,2010-03-24,110442,1906.0
"464 WEST 152ND STREET, 54                ",            ,2066,0.0,57,Harlem-Upper,2010-04-29,190000,1920.0
"79 HAMILTON PLACE, 12                    ",            ,2072,0.0,21,Harlem-Upper,2010-05-26,110000,1910.0
"507 WEST 140TH STREET, 51                ",            ,2072,0.0,26,Harlem-Upper,2010-03-18,230000,1920.0
"517 WEST 144 STREET, 10                  ",            ,2076,0.0,23,Harlem-Upper,2010-05-03,220000,1880.0
"117 SEAMAN AVENUE, 3D                    ",            ,2240,0.0,1,Inwood,2010-04-07,330000,1918.0
"323 EAST 21ST STREET, M3                 ",            ,927,0.0,15,Kips Bay,2010-04-22,280500,1910.0
"311 EAST 23RD   STREET, RES1             ",            ,928,0.0,1107,Kips Bay,2010-03-03,385000,1900.0
"300 EAST 40TH   STREET, RES              ",            ,945,0.0,1003,Kips Bay,2010-01-11,910000,0.0
"300 EAST 40TH STREET, 31E                ",            ,945,0.0,1003,Kips Bay,2010-02-08,575000,0.0
"300 EAST 40TH STREET, 11D                ",            ,945,0.0,1003,Kips Bay,2010-02-12,455000,0.0
"300 EAST 40TH   STREET, RES              ",            ,945,0.0,1003,Kips Bay,2010-04-01,476730,0.0
"300 EAST 40TH   STREET, 32K              ",            ,945,0.0,1003,Kips Bay,2010-03-31,1287000,0.0
"300 EAST 40TH STREET, 12V                ",            ,945,0.0,1003,Kips Bay,2010-04-09,685000,0.0
"300 EAST 40TH   STREET, 8H               ",            ,945,0.0,1003,Kips Bay,2010-04-26,485000,0.0
"300 EAST 40TH   STREET, 6D               ",            ,945,0.0,1003,Kips Bay,2010-04-27,500000,0.0
"300 EAST 40TH STREET, 22F                ",            ,945,0.0,1003,Kips Bay,2010-05-06,590000,0.0
"300 EAST 40TH STREET, 12G                ",            ,945,0.0,1003,Kips Bay,2010-05-13,575000,0.0
"243 MULBERRY STREET, 2R                  ",            ,495,0.0,29,Little Italy,2010-03-16,587000,1880.0
"240 CENTRE STREET, 4G                    ",            ,472,0.0,1002,Little Italy,2010-05-05,2000000,1905.0
"309 EAST HOUSTON STREET, 3C              ",            ,350,0.0,57,Lower East Side,2010-02-12,325000,1920.0
"170 NORFOLK STREET, 17                   ",            ,355,0.0,40,Lower East Side,2010-05-18,460000,1900.0
"110 FORSYTH STREET, 4                    ",            ,419,0.0,40,Lower East Side,2010-03-24,530000,1900.0
"237 ELDRIDGE STREET, 27                  ",            ,422,0.0,60,Lower East Side,2010-02-03,310000,1900.0
"58 WEST 105TH STREET, 4D                 ",            ,1840,0.0,57,Manhattan Valley,2010-02-23,230000,1900.0
"58 WEST 105TH STREET, 5A                 ",            ,1840,0.0,57,Manhattan Valley,2010-04-19,218000,1900.0
"23O WEST 105TH STREET, 10E               ",            ,1841,0.0,23,Manhattan Valley,2010-01-11,385000,1925.0
"12 WEST 107TH STREET, 4A                 ",            ,1842,0.0,40,Manhattan Valley,2010-01-07,140000,1900.0
"465 PARK AVENUE, 18D                     ",            ,1312,0.0,1302,Midtown Cbd,2010-02-08,1625000,0.0
"465 PARK AVENUE, 13A                     ",            ,1312,0.0,1302,Midtown Cbd,2010-02-25,1295000,0.0
"344 EAST 58TH STREET, A                  ",            ,1350,0.0,31,Midtown East,2010-01-12,460000,1910.0
"436 EAST 58TH STREET, 2C                 ",            ,1369,0.0,31,Midtown East,2010-01-20,282800,1930.0
"211 EAST 53 STREET, 6F                   ",            ,1327,0.0,1003,Midtown East,2010-05-27,540000,0.0
"225 EAST 57TH STREET, 15G                ",            ,1331,0.0,1203,Midtown East,2010-02-08,935000,1964.0
"225 EAST 57TH STREET, 8-A                ",            ,1331,0.0,1203,Midtown East,2010-02-11,505000,1964.0
"225 EAST 57TH STREET, 14F                ",            ,1331,0.0,1203,Midtown East,2010-04-19,920000,1964.0
"225 EAST 57TH STREET, 9-S                ",            ,1331,0.0,1203,Midtown East,2010-04-29,553500,1964.0
"225 EAST 57TH STREET, 5B                 ",            ,1331,0.0,1203,Midtown East,2010-04-22,432500,1964.0
"225 EAST 57TH STREET, 4D                 ",            ,1331,0.0,1203,Midtown East,2010-05-05,467000,1964.0
"225 EAST 57TH STREET, #17B               ",            ,1331,0.0,1203,Midtown East,2010-05-05,850000,1964.0
"225 EAST 57TH STREET, 4C                 ",            ,1331,0.0,1203,Midtown East,2010-05-20,495000,1964.0
"319 EAST 50TH   STREET, COOP             ",            ,1343,0.0,1002,Midtown East,2010-01-27,575000,1931.0
"334 EAST 54TH STREET, 4F                 ",            ,1346,0.0,1102,Midtown East,2010-03-08,322500,1900.0
"345 EAST 56TH STREET, 9H                 ",            ,1349,0.0,1004,Midtown East,2010-03-23,578500,1960.0
"345 EAST 56TH   STREET, RESI             ",            ,1349,0.0,1004,Midtown East,2010-04-30,530000,1960.0
"351 EAST 57TH   STREET, RES              ",            ,1350,0.0,1017,Midtown East,2010-03-02,440000,1958.0
"788 NINTH AVENUE, 5B                     ",            ,1043,0.0,3,Midtown West,2010-05-27,550000,1920.0
"200 WEST 54TH STREET, 10L                ",            ,1025,0.0,1002,Midtown West,2010-03-11,675000,1912.0
"200 WEST 54TH STREET, 4H                 ",            ,1025,0.0,1002,Midtown West,2010-04-15,530000,1912.0
"333 WEST 57TH STREET, 310                ",            ,1048,0.0,3003,Midtown West,2010-01-25,770000,0.0
"333 WEST 57TH   STREET, RES              ",            ,1048,0.0,3003,Midtown West,2010-03-26,827537,0.0
"3115 BROADWAY, 45                        ",            ,1993,0.0,21,Morningside Heights,2010-02-19,216500,1920.0
"40 TIEMANN PLACE, 5A                     ",            ,1993,0.0,94,Morningside Heights,2010-02-05,320000,1920.0
"40 TIEMANN PLACE, 6D                     ",            ,1993,0.0,94,Morningside Heights,2010-04-23,340000,1920.0
"126 EAST 30TH STREET, 3C                 ",            ,885,0.0,74,Murray Hill,2010-04-27,299000,1900.0
"219 EAST 30TH STREET, 5                  ",            ,911,0.0,13,Murray Hill,2010-03-04,865000,1920.0
"20 EAST 35TH   STREET, 8N                ",            ,864,0.0,1002,Murray Hill,2010-01-27,575000,1938.0
"20 EAST 35TH   STREET, COM-B             ",            ,864,0.0,1002,Murray Hill,2010-03-18,575057,1938.0
"649 SECOND AVENUE, 3C                    ",            ,916,0.0,1002,Murray Hill,2010-03-02,385000,1960.0
"12 WOOSTER STREET, 3                     ",            ,229,0.0,12,Soho,2010-03-11,2150000,1915.0
"349 WEST BROADWAY, 23                    ",            ,475,0.0,7,Soho,2010-01-14,385000,1900.0
"101 THOMPSON STREET, 37                  ",            ,503,0.0,28,Soho,2010-04-08,450000,1900.0
"143 SULLIVAN STREET, 7                   ",            ,517,0.0,6,Soho,2010-02-10,325000,1900.0
"143 SULLIVAN STREET, 6                   ",            ,517,0.0,6,Soho,2010-05-11,355000,1900.0
"64 MACDOUGAL STREET, 9                   ",            ,518,0.0,14,Soho,2010-03-23,375000,1920.0
"150 SULLIVAN STREET, 33                  ",            ,518,0.0,32,Soho,2010-05-05,280000,1900.0
